brand,model,model_year,trim,vehicle_type_raw,vehicle_type,energy_type,markets,drivetrain,system_power_kw,battery_kwh,range_km,range_cycle,ac_charge_kw,dc_charge_kw,fast_charge_minutes_estimated,source_url,raw_path
Audi,A6 e-tron,2024,Base,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,350,94.9,700,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/a6_e_tron/2024/a6_e_tron.json
Audi,A6 e-tron,2024,Base,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,350,94.9,700,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/a6_e_tron/2024/a6_e_tron_avant.json
Audi,A6 e-tron,2025,Base,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,350,94.9,700,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/a6_e_tron/2025/a6_e_tron.json
Audi,A6 e-tron,2025,Base,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,350,94.9,700,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/a6_e_tron/2025/a6_e_tron_avant.json
Audi,e-tron GT,2023,quattro,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,awd,390,85.0,488,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/e_tron_gt/2023/e_tron_gt.json
Audi,e-tron GT,2023,RS,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,awd,440,85.0,472,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/e_tron_gt/2023/e_tron_gt_rs.json
Audi,e-tron GT,2024,quattro,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,awd,390,85.0,488,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/e_tron_gt/2024/e_tron_gt.json
Audi,e-tron GT,2024,RS,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,awd,440,85.0,472,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/e_tron_gt/2024/e_tron_gt_rs.json
Audi,e-tron GT,2025,quattro,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,awd,390,85.0,488,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/e_tron_gt/2025/e_tron_gt.json
Audi,e-tron GT,2025,RS,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,awd,440,85.0,472,wltp,11.0,270,18,https://www.audi.com,open-ev-data-dataset-main/src/audi/e_tron_gt/2025/e_tron_gt_rs.json
Audi,Q4 e-tron,2023,40,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,125,48.0,341,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2023/q4_e_tron.json
Audi,Q4 e-tron,2023,50,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,150,73.0,520,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2023/q4_e_tron_50.json
Audi,Q4 e-tron,2023,quattro,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,awd,220,73.0,488,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2023/q4_e_tron_quattro.json
Audi,Q4 e-tron,2023,40,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,125,48.0,349,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2023/q4_e_tron_sportback.json
Audi,Q4 e-tron,2023,50,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,150,73.0,534,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2023/q4_e_tron_sportback_50.json
Audi,Q4 e-tron,2023,quattro,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,awd,220,73.0,502,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2023/q4_e_tron_sportback_quattro.json
Audi,Q4 e-tron,2024,40,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,125,48.0,341,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2024/q4_e_tron.json
Audi,Q4 e-tron,2024,50,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,150,73.0,520,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2024/q4_e_tron_50.json
Audi,Q4 e-tron,2024,quattro,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,awd,220,73.0,488,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2024/q4_e_tron_quattro.json
Audi,Q4 e-tron,2024,40,,轿车,纯电,US|BR|DE|GB|FR|PT|IT|CN|JP,rwd,125,48.0,349,wltp,11.0,125,32,https://www.audi.com,open-ev-data-dataset-main/src/audi/q4_e_tron/2024/q4_e_tron_sportback.json
