brand,model,vehicle_type,energy_type,price_min,price_max,cltc_range,battery_kwh,fast_charge_minutes,seats,drive_type,adas_level,smart_cockpit,wheelbase,trunk_volume,safety_score,monthly_sales,suitable_scenarios,highlights,weaknesses,image_url
比亚迪,宋PLUS DM-i,SUV,插混,129800,169800,1100,18.3,35,5,前驱,L2,DiLink,2765,574,92,32000,家用;低油耗;无家充;城市通勤,插混油耗低;空间实用;保有量大;售后网点多,高速后段动力一般;智能驾驶保守,
比亚迪,宋L EV,SUV,纯电,189800,249800,662,87.0,30,5,后驱,L2,DiLink,2930,410,91,12000,家庭;纯电通勤;设计偏好;有家充,纯电平台;外观运动;空间表现好,品牌溢价感一般;后备箱容积中等,https://img2.bitauto.com/bitauto/2024/0115/c3d4e5f6-7a8b-9012-cdef-123456789012_800.jpg
特斯拉,Model Y,SUV,纯电,263900,363900,688,78.4,27,5,后驱,L2,特斯拉座舱,2890,854,94,41000,家庭;长途;智能化;品牌偏好,能耗控制优秀;补能网络成熟;保值率高,内饰简约;舒适配置少;价格波动,"https://digitalassets.tesla.com/tesla-contents/image/upload/f_auto,q_auto/Model-Y-Order-Hero-Desktop-Global.png"
小鹏,G6,SUV,纯电,199900,276900,755,87.5,20,5,后驱,L2+,Xmart OS,2890,571,90,8500,智驾;城市通勤;年轻家庭;长途补能,800V 快充;智驾能力强;性价比高,品牌保值率需观察;后排舒适性一般,https://img2.bitauto.com/bitauto/2023/0613/f7a5e6c1-8a2c-4bc1-9c2e-5a8d4f3b1c7d_800.jpg
理想,L6,SUV,增程,249800,279800,1390,36.8,30,5,四驱,L2+,理想座舱,2920,491,93,23000,家庭;长途;露营;无续航焦虑,空间舒适;增程适合长途;座舱体验强,纯电续航有限;车重较高,https://img2.bitauto.com/bitauto/2024/0418/a1b2c3d4-5e6f-7890-abcd-ef1234567890_800.jpg
理想,L7,SUV,增程,319800,379800,1315,42.8,30,5,四驱,L2+,理想座舱,3005,801,94,15000,大五座;家庭;商务;长途,舒适性强;空间大;配置丰富,价格较高;城市停车压力,
问界,M7,SUV,增程,249800,329800,1300,40.0,30,5,四驱,L2+,鸿蒙座舱,2820,686,93,19000,家庭;智能座舱;长途;安全,鸿蒙生态;舒适配置强;主动安全丰富,车型较大;第三方口碑分化,https://img2.bitauto.com/bitauto/2023/0912/b2c3d4e5-6f7a-8901-bcde-f12345678901_800.jpg
问界,M9,SUV,增程,469800,569800,1402,52.0,30,6,四驱,L2+,鸿蒙座舱,3110,716,95,15000,高端家庭;商务;六座;智能化,高端配置;空间豪华;科技感强,价格高;使用成本高,
蔚来,ES6,SUV,纯电,338000,396000,625,100.0,40,5,四驱,L2+,Banyan,2915,579,93,7600,换电;高端;家庭;服务体验,换电体系;服务体验好;底盘质感强,购车门槛高;能耗偏高,
蔚来,ET5T,旅行车,纯电,298000,356000,680,100.0,40,5,四驱,L2+,Banyan,2888,450,92,5600,年轻家庭;旅行;设计偏好;换电,旅行车造型;驾驶质感好;换电便利,后排空间一般;价格较高,
极氪,007,轿车,纯电,209900,299900,870,100.0,15,5,后驱,L2+,ZEEKR OS,2928,462,92,11000,年轻用户;性能;长续航;智能化,续航强;快充快;底盘质感好,后排头部空间一般;品牌认知仍在提升,
